t,stiff_force,compliant_force,stiff_torque,compliant_torque
0.7060,0.0000,0.0000,1061.6305,209.7324
0.7080,0.0000,0.0000,1061.6762,206.9346
0.7100,0.0000,0.0000,1061.6408,209.8218
0.7120,0.0000,0.0000,1061.6866,207.0279
0.7140,0.0000,0.0000,1061.6662,209.9133
0.7160,0.0000,0.0000,1061.7072,207.1075
0.7180,0.0000,0.0000,1061.6670,209.9879
0.7200,0.0000,0.0000,1061.7103,207.1767
0.7220,0.0000,0.0000,1061.6713,210.0534
0.7240,0.0000,0.0000,1061.7147,207.2374
0.7260,0.0000,0.0000,1059.7944,207.6752
0.7280,0.0000,0.0000,1059.8061,205.2144
0.7300,0.0000,0.0000,1059.7386,208.3440
0.7320,0.0000,0.0000,1059.7586,205.7400
0.7340,0.0000,0.0000,1059.7028,208.7838
0.7360,0.0000,0.0000,1059.7351,206.0926
0.7380,0.0000,0.0000,1059.6898,209.0741
0.7400,0.0000,0.0000,1059.7304,206.3354
0.7420,0.0000,0.0000,1059.7007,209.2862
0.7440,0.0000,0.0000,1059.7445,206.5221
0.7460,0.0000,0.0000,1059.7094,209.4557
0.7480,0.0000,0.0000,1059.7524,206.6753
0.7500,0.0000,0.0000,1059.7278,209.5986
0.7520,0.0000,0.0000,1059.7730,206.8019
0.7540,0.0000,0.0000,1059.7392,209.7068
0.7560,0.0000,0.0000,1059.7853,206.9120
0.7580,0.0000,0.0000,1059.7585,209.8239
0.7600,0.0000,0.0000,1059.8081,207.0170
0.7620,0.0000,0.0000,1059.7756,209.9217
0.7640,0.0000,0.0000,1059.8149,207.1057
0.7660,0.0000,0.0000,1059.7757,210.0048
0.7680,0.0000,0.0000,1059.8176,207.1829
0.7700,0.0000,0.0000,1059.7790,210.0782
0.7720,0.0000,0.0000,1059.8346,207.2502
0.7740,0.0000,0.0000,1059.7997,210.1203
0.7760,0.0000,0.0000,1057.6970,204.6820
0.7780,0.0000,0.0000,1057.6123,207.9662
0.7800,0.0000,0.0000,1057.6252,205.4220
0.7820,0.0000,0.0000,1057.5586,208.5376
0.7840,0.0000,0.0000,1057.5858,205.8750
